Customer_Segment,Acquisition_Channel,Region,Tenure_Months,Customer_Lifetime_Value,CSAT_Rating,Churn
Budget Hunter,Social Media,Europe,35,256.25,4,0
Corporate/Bulk,Paid Search,North America,26,8638.39,4,0
Budget Hunter,Organic/Direct,North America,39,329.98,4,0
High-Tier VIP,Organic/Direct,Asia-Pacific,18,4549.84,4,0
Regular Consumer,Social Media,North America,33,1447.11,4,0
Corporate/Bulk,Paid Search,Europe,25,7625.05,5,0
Budget Hunter,Organic/Direct,North America,31,409.35,3,0
Regular Consumer,Paid Search,Europe,37,1088.72,3,0
Corporate/Bulk,Organic/Direct,Asia-Pacific,2,6089.74,3,1
Regular Consumer,Email Referral,North America,33,1204.07,3,1
Regular Consumer,Social Media,Asia-Pacific,39,1594.88,5,0
Regular Consumer,Paid Search,North America,43,1464.93,2,0
Regular Consumer,Organic/Direct,Europe,43,1177.12,5,0
Regular Consumer,Organic/Direct,Asia-Pacific,32,1537.73,3,0
Regular Consumer,Social Media,Europe,18,1257.67,5,0
High-Tier VIP,Email Referral,Latin America,17,5603.84,4,0
Budget Hunter,Paid Search,North America,34,204.61,4,1
Budget Hunter,Social Media,Europe,39,240.65,4,0
Corporate/Bulk,Organic/Direct,Europe,7,13004.85,3,0
High-Tier VIP,Email Referral,Latin America,42,6231.69,4,0
Regular Consumer,Paid Search,North America,35,1325.19,3,1
Regular Consumer,Organic/Direct,Asia-Pacific,30,1050.8,4,0
Budget Hunter,Social Media,Europe,12,275.58,4,1
Budget Hunter,Social Media,North America,35,322.41,3,1
Regular Consumer,Paid Search,Europe,11,1564.09,5,0
Budget Hunter,Email Referral,North America,44,320.03,3,1
Regular Consumer,Paid Search,Europe,4,1514.33,4,0
Budget Hunter,Paid Search,Asia-Pacific,25,407.1,5,0
Corporate/Bulk,Paid Search,Europe,32,15713.3,4,0
Corporate/Bulk,Email Referral,Europe,20,11550.72,4,0
Regular Consumer,Organic/Direct,Europe,31,1185.12,4,0
Regular Consumer,Organic/Direct,North America,4,1529.3,5,0
Budget Hunter,Paid Search,North America,38,268.16,3,1
High-Tier VIP,Social Media,Europe,47,4000.48,4,0
Regular Consumer,Social Media,North America,1,696.0,4,1
Budget Hunter,Organic/Direct,North America,3,240.25,1,1
High-Tier VIP,Email Referral,Europe,37,6663.79,2,0
High-Tier VIP,Paid Search,North America,22,5278.85,3,0
High-Tier VIP,Organic/Direct,North America,17,2957.96,4,0
Regular Consumer,Paid Search,Europe,14,1558.45,5,1
Regular Consumer,Social Media,North America,41,988.89,4,0
Regular Consumer,Paid Search,Latin America,35,1392.29,4,0
High-Tier VIP,Paid Search,Asia-Pacific,13,5204.27,2,0
High-Tier VIP,Social Media,Asia-Pacific,35,6373.11,3,0
Budget Hunter,Social Media,North America,43,302.95,3,0
Budget Hunter,Paid Search,Asia-Pacific,2,285.23,4,0
Budget Hunter,Organic/Direct,Asia-Pacific,47,114.71,2,0
High-Tier VIP,Social Media,Asia-Pacific,13,4363.01,4,0
Corporate/Bulk,Paid Search,North America,16,12994.66,5,0
Budget Hunter,Organic/Direct,Europe,18,425.42,4,0
Regular Consumer,Paid Search,Asia-Pacific,7,1575.72,4,0
Regular Consumer,Social Media,Europe,45,1286.94,4,0
Corporate/Bulk,Organic/Direct,Europe,36,12388.15,3,0
High-Tier VIP,Paid Search,Europe,41,4576.64,2,1
High-Tier VIP,Paid Search,Europe,30,5295.89,5,0
Regular Consumer,Social Media,North America,42,919.73,4,0
Regular Consumer,Email Referral,Europe,41,777.46,4,0
Budget Hunter,Social Media,North America,7,277.49,3,1
Budget Hunter,Organic/Direct,Europe,15,368.69,4,1
High-Tier VIP,Social Media,North America,40,3037.02,1,0
High-Tier VIP,Paid Search,Europe,19,3787.6,2,0
Corporate/Bulk,Social Media,North America,43,9346.44,3,0
Corporate/Bulk,Organic/Direct,Europe,37,13150.01,4,0
Regular Consumer,Paid Search,Asia-Pacific,2,1398.03,2,0
Regular Consumer,Paid Search,North America,42,1221.15,2,0
High-Tier VIP,Paid Search,North America,13,5007.45,4,0
High-Tier VIP,Social Media,North America,40,5029.64,4,0
Budget Hunter,Email Referral,Asia-Pacific,41,318.18,4,0
Regular Consumer,Paid Search,Europe,43,1037.25,4,0
Budget Hunter,Social Media,Europe,43,484.46,5,0
Corporate/Bulk,Paid Search,North America,31,4154.9,1,1
Regular Consumer,Email Referral,Europe,16,977.61,3,0
Budget Hunter,Paid Search,Asia-Pacific,42,332.17,4,0
Regular Consumer,Social Media,Asia-Pacific,44,1367.99,2,0
Regular Consumer,Organic/Direct,Europe,6,1540.65,4,0
Budget Hunter,Organic/Direct,North America,28,512.46,4,0
Budget Hunter,Social Media,North America,32,341.98,5,0
Regular Consumer,Paid Search,North America,44,1192.58,5,0
Regular Consumer,Social Media,North America,10,1308.78,5,0
Regular Consumer,Paid Search,North America,18,1040.66,2,0
Regular Consumer,Paid Search,North America,4,844.73,5,1
High-Tier VIP,Social Media,North America,9,4391.72,2,0
Regular Consumer,Paid Search,Latin America,7,1423.61,4,0
Regular Consumer,Paid Search,Europe,8,1127.12,4,0
High-Tier VIP,Organic/Direct,Asia-Pacific,43,4965.11,2,0
Regular Consumer,Email Referral,Asia-Pacific,7,639.35,4,0
Budget Hunter,Social Media,North America,41,351.61,1,1
Budget Hunter,Paid Search,Asia-Pacific,40,314.7,3,0
Regular Consumer,Paid Search,North America,3,817.46,5,0
Regular Consumer,Email Referral,Europe,17,1397.16,2,1
Regular Consumer,Paid Search,North America,2,1753.69,2,1
Budget Hunter,Paid Search,Latin America,15,436.62,4,1
Budget Hunter,Social Media,North America,46,442.2,5,0
Budget Hunter,Social Media,North America,29,412.34,2,1
Budget Hunter,Social Media,Latin America,22,406.56,3,1
Regular Consumer,Paid Search,North America,4,660.17,5,0
Regular Consumer,Paid Search,Europe,6,1161.61,2,0
Regular Consumer,Email Referral,Asia-Pacific,38,1352.6,3,0
High-Tier VIP,Paid Search,Asia-Pacific,26,5097.83,4,0
Budget Hunter,Organic/Direct,Latin America,11,461.27,4,0
Regular Consumer,Organic/Direct,Latin America,26,890.28,5,0
Regular Consumer,Social Media,North America,17,1382.18,2,0
Regular Consumer,Paid Search,Asia-Pacific,24,880.49,5,0
Regular Consumer,Paid Search,Europe,28,1136.49,5,0
High-Tier VIP,Social Media,Europe,35,4430.29,2,1
High-Tier VIP,Email Referral,North America,31,5470.39,1,1
Budget Hunter,Email Referral,Europe,13,415.18,5,0
High-Tier VIP,Paid Search,Latin America,35,4635.37,4,0
Regular Consumer,Paid Search,Latin America,16,554.39,4,0
Budget Hunter,Email Referral,Europe,15,388.92,4,1
Regular Consumer,Organic/Direct,North America,43,1119.7,4,0
Corporate/Bulk,Email Referral,North America,18,14827.47,5,0
Regular Consumer,Paid Search,Asia-Pacific,47,1546.05,3,0
Budget Hunter,Social Media,Asia-Pacific,37,267.92,3,0
Regular Consumer,Organic/Direct,Europe,41,1374.65,5,0
Budget Hunter,Organic/Direct,North America,27,402.67,5,0
Budget Hunter,Social Media,Europe,35,396.3,4,0
Budget Hunter,Paid Search,Europe,45,384.96,5,0
Budget Hunter,Social Media,Latin America,35,405.14,4,0
Budget Hunter,Paid Search,Europe,28,481.38,3,1
Budget Hunter,Social Media,North America,39,301.75,5,0
Regular Consumer,Email Referral,Europe,38,928.26,4,0
Budget Hunter,Social Media,North America,9,418.49,1,1
Budget Hunter,Organic/Direct,Latin America,12,185.21,3,0
High-Tier VIP,Paid Search,North America,15,5235.78,4,0
Regular Consumer,Organic/Direct,Europe,21,1343.08,5,0
Regular Consumer,Email Referral,North America,35,496.35,3,0
Budget Hunter,Paid Search,Europe,42,294.32,3,0
Budget Hunter,Paid Search,Europe,33,487.9,4,0
Budget Hunter,Social Media,Asia-Pacific,19,222.5,5,0
Budget Hunter,Paid Search,North America,23,368.6,4,0
Budget Hunter,Organic/Direct,North America,13,262.07,4,1
Budget Hunter,Email Referral,North America,44,287.97,4,0
Budget Hunter,Social Media,Europe,1,517.68,3,0
Budget Hunter,Paid Search,North America,29,360.8,4,0
Regular Consumer,Social Media,Europe,24,1355.09,3,0
Budget Hunter,Organic/Direct,Asia-Pacific,16,340.16,5,0
Budget Hunter,Paid Search,Asia-Pacific,25,217.43,2,0
Regular Consumer,Social Media,Europe,23,844.52,4,0
Regular Consumer,Social Media,Europe,28,1553.53,3,0
Budget Hunter,Social Media,North America,47,363.38,4,0
Regular Consumer,Paid Search,Europe,16,968.91,3,0
Regular Consumer,Organic/Direct,Asia-Pacific,43,1193.38,3,0
Budget Hunter,Paid Search,North America,38,407.89,3,1
High-Tier VIP,Paid Search,Europe,11,5011.3,4,1
High-Tier VIP,Email Referral,Asia-Pacific,3,3633.99,3,0
Budget Hunter,Organic/Direct,Asia-Pacific,15,212.16,4,0
Budget Hunter,Paid Search,North America,1,314.38,4,0
High-Tier VIP,Paid Search,Europe,7,5747.68,4,0
Regular Consumer,Paid Search,North America,1,1456.31,4,0
Budget Hunter,Paid Search,North America,32,385.91,5,0
Budget Hunter,Paid Search,Latin America,9,335.05,3,0
Budget Hunter,Paid Search,Asia-Pacific,29,304.78,3,0
Regular Consumer,Social Media,Asia-Pacific,26,1154.3,5,0
Regular Consumer,Organic/Direct,North America,23,1434.53,2,0
Budget Hunter,Social Media,Asia-Pacific,45,438.39,5,0
Regular Consumer,Organic/Direct,Europe,43,1121.46,2,0
Regular Consumer,Paid Search,North America,29,1960.87,4,0
Budget Hunter,Email Referral,Europe,38,358.09,2,1
Budget Hunter,Organic/Direct,North America,33,319.64,5,0
Regular Consumer,Organic/Direct,Asia-Pacific,7,1642.7,4,0
High-Tier VIP,Organic/Direct,Europe,12,2206.92,3,0
Regular Consumer,Email Referral,North America,31,1344.01,2,0
Regular Consumer,Social Media,North America,32,1178.16,3,0
Budget Hunter,Paid Search,North America,20,476.72,4,0
Regular Consumer,Social Media,North America,17,1381.48,3,0
Regular Consumer,Organic/Direct,Europe,36,1241.73,3,0
Budget Hunter,Organic/Direct,Asia-Pacific,3,407.98,4,0
Budget Hunter,Social Media,North America,1,257.64,4,1
Budget Hunter,Paid Search,North America,27,434.6,2,1
Budget Hunter,Social Media,Europe,47,232.35,2,0
Budget Hunter,Email Referral,Asia-Pacific,40,381.37,4,0
Budget Hunter,Social Media,North America,33,353.12,5,0
Budget Hunter,Social Media,North America,20,195.73,3,0
Budget Hunter,Paid Search,Europe,14,356.03,4,1
High-Tier VIP,Social Media,North America,36,4817.24,2,1
Regular Consumer,Email Referral,North America,5,1003.54,3,0
Regular Consumer,Organic/Direct,Asia-Pacific,23,896.27,4,0
Regular Consumer,Organic/Direct,Europe,45,1347.65,3,0
Regular Consumer,Social Media,Europe,15,1308.69,4,1
Budget Hunter,Social Media,Asia-Pacific,6,369.85,5,0
Regular Consumer,Paid Search,Europe,33,1202.65,5,0
Regular Consumer,Organic/Direct,North America,19,1030.03,2,0
Regular Consumer,Social Media,North America,13,1881.65,3,0
Regular Consumer,Social Media,North America,29,1110.5,5,0
Budget Hunter,Social Media,North America,6,274.3,3,0
Budget Hunter,Email Referral,Europe,15,354.76,4,1
Budget Hunter,Paid Search,Asia-Pacific,16,334.17,3,0
Regular Consumer,Organic/Direct,Latin America,24,1103.55,3,0
Regular Consumer,Paid Search,Europe,23,1762.28,3,0
Budget Hunter,Social Media,North America,10,251.15,5,0
Corporate/Bulk,Paid Search,North America,41,11102.95,5,0
Regular Consumer,Paid Search,Asia-Pacific,41,881.2,3,0
Budget Hunter,Social Media,Europe,17,302.66,5,0
Budget Hunter,Paid Search,Europe,44,501.91,3,0
Budget Hunter,Social Media,Asia-Pacific,45,374.63,2,0
Budget Hunter,Email Referral,Asia-Pacific,30,373.57,4,1
Budget Hunter,Paid Search,Asia-Pacific,44,267.8,4,1
Budget Hunter,Organic/Direct,North America,46,312.85,3,0
Budget Hunter,Social Media,Asia-Pacific,10,509.52,3,1
Budget Hunter,Organic/Direct,Asia-Pacific,19,393.69,5,0
High-Tier VIP,Paid Search,North America,29,4117.82,5,1
Budget Hunter,Paid Search,Europe,2,388.55,5,0
Regular Consumer,Paid Search,North America,36,1280.3,2,0
Regular Consumer,Paid Search,Latin America,19,948.17,4,0
Corporate/Bulk,Paid Search,North America,7,9985.78,3,0
Budget Hunter,Organic/Direct,Europe,26,547.27,5,0
Regular Consumer,Email Referral,North America,15,1317.6,1,0
Corporate/Bulk,Organic/Direct,Asia-Pacific,47,6685.13,3,0
High-Tier VIP,Organic/Direct,North America,38,5073.99,4,0
High-Tier VIP,Paid Search,North America,3,5965.97,5,0
Budget Hunter,Paid Search,Europe,38,270.87,4,1
Budget Hunter,Paid Search,Latin America,16,310.03,3,1
Regular Consumer,Paid Search,North America,2,1636.13,4,0
High-Tier VIP,Social Media,North America,31,4539.28,5,0
Regular Consumer,Social Media,Asia-Pacific,28,1157.14,1,1
Regular Consumer,Social Media,Europe,7,799.18,5,0
Budget Hunter,Social Media,Latin America,30,443.67,5,0
Regular Consumer,Organic/Direct,North America,43,1143.46,1,0
Budget Hunter,Organic/Direct,Europe,7,160.04,1,0
Budget Hunter,Paid Search,North America,36,212.39,3,0
Regular Consumer,Email Referral,North America,29,1031.53,2,0
Regular Consumer,Email Referral,Europe,24,878.15,4,0
Budget Hunter,Paid Search,Europe,39,269.85,4,0
Budget Hunter,Social Media,Asia-Pacific,4,555.16,4,0
Regular Consumer,Social Media,North America,29,1412.26,3,0
Budget Hunter,Email Referral,Europe,44,124.48,4,0
Regular Consumer,Email Referral,Europe,5,1105.7,4,0
Budget Hunter,Paid Search,Latin America,29,342.17,5,0
Regular Consumer,Social Media,North America,30,756.92,2,1
Regular Consumer,Social Media,North America,29,1360.32,4,0
Budget Hunter,Social Media,North America,26,171.38,5,0
Budget Hunter,Paid Search,Europe,19,445.98,4,0
Budget Hunter,Email Referral,North America,26,476.13,3,0
Budget Hunter,Organic/Direct,Latin America,37,555.85,2,0
Corporate/Bulk,Organic/Direct,North America,27,6670.59,5,0
Budget Hunter,Email Referral,Asia-Pacific,30,230.05,3,0
High-Tier VIP,Organic/Direct,North America,30,5279.26,5,0
Budget Hunter,Social Media,Europe,3,453.48,5,0
Regular Consumer,Social Media,Latin America,43,1442.69,3,0
Regular Consumer,Paid Search,North America,7,1523.92,4,1
Regular Consumer,Organic/Direct,Latin America,9,1613.05,1,1
Regular Consumer,Paid Search,Europe,41,1260.68,3,0
Regular Consumer,Organic/Direct,Latin America,42,1136.24,4,0
Budget Hunter,Paid Search,Europe,13,230.28,4,1
High-Tier VIP,Paid Search,North America,15,4164.63,3,0
High-Tier VIP,Paid Search,North America,5,4337.0,5,0
Corporate/Bulk,Paid Search,North America,29,8388.37,3,0
Budget Hunter,Organic/Direct,North America,35,346.66,4,0
Regular Consumer,Organic/Direct,North America,27,881.29,4,0
High-Tier VIP,Social Media,North America,27,5752.5,3,0
Budget Hunter,Paid Search,Europe,8,387.26,5,1
Budget Hunter,Paid Search,Asia-Pacific,32,309.78,4,0
Regular Consumer,Paid Search,North America,20,1256.65,4,0
Regular Consumer,Paid Search,North America,10,868.47,4,0
High-Tier VIP,Email Referral,Europe,13,3370.85,2,0
Budget Hunter,Paid Search,North America,29,294.54,3,0
Regular Consumer,Social Media,North America,35,1142.42,4,0
Budget Hunter,Paid Search,North America,8,362.36,5,0
Budget Hunter,Paid Search,Latin America,29,362.7,5,1
Budget Hunter,Social Media,Asia-Pacific,31,234.61,3,0
High-Tier VIP,Social Media,North America,41,4409.18,4,0
Regular Consumer,Paid Search,Europe,30,954.58,2,1
Regular Consumer,Paid Search,Europe,22,177.31,2,1
Budget Hunter,Social Media,Europe,21,619.11,4,1
High-Tier VIP,Paid Search,Europe,12,3601.52,4,0
Regular Consumer,Paid Search,Europe,11,977.05,3,0
High-Tier VIP,Email Referral,North America,2,2985.26,4,0
Regular Consumer,Social Media,North America,41,882.75,4,0
Budget Hunter,Social Media,Europe,2,333.49,3,1
Regular Consumer,Social Media,Asia-Pacific,34,1605.54,4,0
Budget Hunter,Social Media,Europe,3,332.99,3,0
Regular Consumer,Social Media,Asia-Pacific,16,1102.93,4,0
Regular Consumer,Organic/Direct,Latin America,4,1560.08,5,0
Budget Hunter,Organic/Direct,North America,23,304.12,4,0
High-Tier VIP,Paid Search,Europe,20,4523.79,5,0
Regular Consumer,Social Media,Europe,25,923.53,1,0
Regular Consumer,Social Media,Latin America,30,1705.54,4,0
High-Tier VIP,Email Referral,Latin America,18,5679.57,4,0
Regular Consumer,Social Media,Europe,42,1154.1,4,0
Budget Hunter,Social Media,North America,11,315.05,5,0
High-Tier VIP,Paid Search,Asia-Pacific,29,4464.18,4,0
Regular Consumer,Social Media,North America,17,1158.49,4,0
Budget Hunter,Paid Search,Asia-Pacific,26,214.65,3,0
Budget Hunter,Paid Search,Latin America,23,444.73,3,0
Regular Consumer,Paid Search,North America,20,1131.86,4,0
Regular Consumer,Organic/Direct,Europe,45,1769.5,4,0
Regular Consumer,Paid Search,Europe,2,1326.54,5,0
High-Tier VIP,Social Media,Europe,24,1663.78,3,1
Regular Consumer,Email Referral,North America,31,815.51,3,0
Budget Hunter,Paid Search,Asia-Pacific,27,162.22,4,0
Budget Hunter,Social Media,Latin America,2,236.77,5,1
Budget Hunter,Social Media,Latin America,14,207.06,5,0
Regular Consumer,Paid Search,North America,4,1275.77,3,0
Budget Hunter,Organic/Direct,Asia-Pacific,13,322.34,2,0
Regular Consumer,Paid Search,Asia-Pacific,36,1422.16,4,0
Regular Consumer,Social Media,North America,35,1188.57,3,0
High-Tier VIP,Social Media,North America,44,4229.65,5,0
Budget Hunter,Social Media,North America,8,525.28,4,0
High-Tier VIP,Organic/Direct,Latin America,2,4750.68,3,0
Budget Hunter,Paid Search,Europe,6,342.96,3,1
High-Tier VIP,Paid Search,Asia-Pacific,31,3539.88,3,0
Budget Hunter,Organic/Direct,North America,10,247.11,5,0
Regular Consumer,Social Media,Asia-Pacific,44,1431.15,2,0
Regular Consumer,Organic/Direct,North America,21,1413.21,3,0
Budget Hunter,Organic/Direct,North America,42,487.51,5,0
Budget Hunter,Organic/Direct,Europe,10,391.9,2,0
Regular Consumer,Social Media,North America,23,1082.07,4,1
Regular Consumer,Paid Search,Asia-Pacific,3,1353.3,3,0
Regular Consumer,Organic/Direct,North America,32,1175.91,4,0
Regular Consumer,Social Media,Europe,20,1459.62,2,1
Regular Consumer,Paid Search,Europe,10,1600.3,3,0
Budget Hunter,Email Referral,Europe,29,335.25,4,0
Budget Hunter,Email Referral,North America,41,503.76,3,0
Budget Hunter,Social Media,North America,46,453.98,4,1
High-Tier VIP,Paid Search,Latin America,34,4519.89,3,0
Regular Consumer,Social Media,North America,37,1401.22,4,0
Regular Consumer,Organic/Direct,Asia-Pacific,20,1291.65,5,0
Regular Consumer,Email Referral,Latin America,8,1206.6,2,0
High-Tier VIP,Paid Search,North America,7,6652.29,3,1
Budget Hunter,Paid Search,North America,6,395.29,5,1
Regular Consumer,Email Referral,Europe,11,947.71,4,0
Regular Consumer,Social Media,Latin America,44,891.61,2,0
Regular Consumer,Social Media,Latin America,18,903.87,4,0
Budget Hunter,Email Referral,Europe,42,392.83,3,1
High-Tier VIP,Paid Search,Asia-Pacific,29,4115.8,3,0
High-Tier VIP,Social Media,North America,25,4874.96,5,0
Regular Consumer,Paid Search,Latin America,21,1480.92,4,0
Regular Consumer,Social Media,Latin America,46,1808.61,4,0
High-Tier VIP,Organic/Direct,North America,3,4141.72,3,0
Regular Consumer,Social Media,North America,18,777.43,2,1
Budget Hunter,Email Referral,North America,24,506.84,5,0
Regular Consumer,Social Media,North America,47,762.87,1,0
Regular Consumer,Paid Search,Asia-Pacific,38,751.07,3,0
Regular Consumer,Paid Search,North America,10,1729.94,3,0
Regular Consumer,Social Media,North America,27,1519.87,4,0
High-Tier VIP,Social Media,North America,12,5045.45,3,0
High-Tier VIP,Paid Search,Latin America,7,4443.84,3,1
Regular Consumer,Social Media,Europe,17,1128.24,5,0
Budget Hunter,Social Media,Europe,1,293.05,4,1
Corporate/Bulk,Organic/Direct,North America,26,10221.63,2,0
High-Tier VIP,Organic/Direct,Latin America,15,4446.66,4,0
Budget Hunter,Organic/Direct,Asia-Pacific,33,229.74,3,0
High-Tier VIP,Paid Search,North America,37,3577.24,4,0
High-Tier VIP,Paid Search,North America,47,2124.09,4,0
Regular Consumer,Organic/Direct,North America,31,1223.38,3,1
Regular Consumer,Social Media,North America,35,1223.43,3,0
Regular Consumer,Paid Search,Europe,1,1733.55,4,0
Budget Hunter,Organic/Direct,Latin America,8,382.86,5,0
Budget Hunter,Organic/Direct,Europe,12,301.35,4,1
High-Tier VIP,Social Media,Asia-Pacific,19,4274.6,1,0
Budget Hunter,Paid Search,Europe,25,392.6,3,0
Budget Hunter,Organic/Direct,Asia-Pacific,32,369.92,3,0
Regular Consumer,Social Media,Asia-Pacific,12,1373.49,3,0
Regular Consumer,Organic/Direct,North America,13,1313.11,4,0
High-Tier VIP,Organic/Direct,North America,28,4215.78,4,0
Budget Hunter,Organic/Direct,Europe,1,303.12,2,1
Budget Hunter,Social Media,North America,6,298.41,3,1
Regular Consumer,Paid Search,North America,8,922.42,4,1
Regular Consumer,Organic/Direct,Europe,4,875.36,3,0
Budget Hunter,Social Media,Latin America,5,510.87,5,0
Regular Consumer,Organic/Direct,Europe,25,1237.41,4,0
Budget Hunter,Paid Search,Asia-Pacific,22,336.41,5,0
Budget Hunter,Paid Search,Europe,28,306.61,5,0
Regular Consumer,Email Referral,Asia-Pacific,39,1328.66,5,0
Regular Consumer,Organic/Direct,Europe,23,1561.1,1,0
High-Tier VIP,Email Referral,Asia-Pacific,4,5313.67,5,0
Budget Hunter,Organic/Direct,Europe,4,430.64,2,0
Regular Consumer,Social Media,Europe,47,1024.04,1,0
Regular Consumer,Organic/Direct,Europe,21,1198.76,4,0
Budget Hunter,Email Referral,Europe,37,299.83,3,0
Regular Consumer,Social Media,North America,41,1232.11,3,0
Budget Hunter,Social Media,North America,2,461.35,3,0
Corporate/Bulk,Paid Search,North America,7,12208.36,3,0
Budget Hunter,Social Media,Asia-Pacific,16,492.34,4,0
Regular Consumer,Organic/Direct,North America,17,1113.44,3,0
Budget Hunter,Paid Search,North America,20,279.39,4,0
Corporate/Bulk,Paid Search,Asia-Pacific,23,12408.35,5,0
Regular Consumer,Paid Search,North America,34,1235.66,4,0
Regular Consumer,Paid Search,Europe,11,1296.81,4,0
Budget Hunter,Paid Search,North America,34,365.16,5,1
Regular Consumer,Social Media,Latin America,33,1054.67,2,0
Budget Hunter,Email Referral,Asia-Pacific,26,367.13,4,0
High-Tier VIP,Social Media,Asia-Pacific,2,5595.04,5,0
Budget Hunter,Paid Search,Europe,23,444.16,5,1
Budget Hunter,Paid Search,Asia-Pacific,41,307.17,4,0
Budget Hunter,Organic/Direct,North America,22,370.21,2,0
Regular Consumer,Social Media,North America,34,1643.13,5,0
Regular Consumer,Organic/Direct,North America,15,1059.63,2,0
Budget Hunter,Organic/Direct,Europe,10,293.17,3,1
Regular Consumer,Organic/Direct,Europe,15,1438.32,3,0
Regular Consumer,Paid Search,Europe,42,1385.69,4,0
Regular Consumer,Organic/Direct,North America,29,948.91,4,0
Regular Consumer,Paid Search,Europe,23,780.16,5,0
Regular Consumer,Email Referral,Asia-Pacific,17,1263.47,4,0
Regular Consumer,Social Media,Europe,9,1074.42,1,0
Budget Hunter,Paid Search,Asia-Pacific,36,202.64,4,0
Budget Hunter,Paid Search,North America,9,289.87,4,1
High-Tier VIP,Paid Search,Asia-Pacific,16,5177.94,4,0
High-Tier VIP,Organic/Direct,Europe,36,4329.66,5,0
Budget Hunter,Paid Search,North America,33,487.03,5,0
Budget Hunter,Social Media,North America,31,167.37,4,0
Regular Consumer,Paid Search,Europe,6,1601.4,2,0
Regular Consumer,Organic/Direct,Asia-Pacific,10,1096.83,4,0
Budget Hunter,Organic/Direct,Europe,16,307.26,5,0
Budget Hunter,Organic/Direct,North America,4,214.27,3,0
Regular Consumer,Organic/Direct,Asia-Pacific,22,1339.52,5,0
Regular Consumer,Paid Search,Europe,13,651.97,3,1
Budget Hunter,Paid Search,Europe,16,421.57,4,0
Budget Hunter,Organic/Direct,Europe,29,217.58,4,0
Budget Hunter,Social Media,North America,6,231.38,4,0
Regular Consumer,Social Media,Europe,26,842.64,5,0
Budget Hunter,Paid Search,North America,11,287.35,3,0
Budget Hunter,Paid Search,Latin America,24,432.43,3,1
Regular Consumer,Paid Search,Europe,29,1651.19,4,0
Budget Hunter,Email Referral,Europe,3,296.4,2,0
Regular Consumer,Paid Search,Europe,10,1186.03,4,0
Budget Hunter,Social Media,Latin America,1,392.87,1,1
Budget Hunter,Paid Search,Asia-Pacific,43,321.19,2,0
Budget Hunter,Organic/Direct,Europe,26,389.44,4,0
Regular Consumer,Paid Search,Asia-Pacific,12,1198.78,4,0
High-Tier VIP,Email Referral,Europe,14,4214.86,2,0
High-Tier VIP,Email Referral,Europe,25,2902.71,3,0
Regular Consumer,Paid Search,North America,8,1244.71,2,0
Regular Consumer,Email Referral,Europe,43,1487.51,4,0
Budget Hunter,Email Referral,North America,4,281.9,2,1
Budget Hunter,Organic/Direct,Latin America,28,177.78,4,0
High-Tier VIP,Organic/Direct,North America,7,4140.51,4,0
Budget Hunter,Paid Search,Latin America,10,482.1,4,1
Budget Hunter,Social Media,Europe,36,456.05,3,0
Budget Hunter,Paid Search,Europe,2,299.21,4,0
Budget Hunter,Paid Search,Europe,26,389.86,5,0
Budget Hunter,Email Referral,North America,14,403.69,3,1
Regular Consumer,Paid Search,North America,16,1647.1,3,0
Regular Consumer,Organic/Direct,North America,43,734.83,4,0
High-Tier VIP,Organic/Direct,Europe,42,3297.57,3,0
High-Tier VIP,Email Referral,Europe,17,2239.03,4,0
Budget Hunter,Email Referral,Asia-Pacific,46,290.64,5,0
Budget Hunter,Paid Search,North America,22,443.3,4,1
Budget Hunter,Paid Search,North America,4,301.02,4,0
Regular Consumer,Social Media,Europe,19,807.54,4,0
Budget Hunter,Paid Search,Latin America,2,369.83,1,1
Regular Consumer,Paid Search,Asia-Pacific,39,1275.71,3,0
Regular Consumer,Social Media,Europe,9,894.89,5,0
Regular Consumer,Organic/Direct,Europe,19,1048.19,5,0
Regular Consumer,Social Media,North America,16,1245.17,4,0
Budget Hunter,Paid Search,Latin America,25,415.27,5,0
High-Tier VIP,Organic/Direct,Europe,18,3770.02,3,0
Regular Consumer,Paid Search,North America,23,962.11,3,1
Budget Hunter,Paid Search,Europe,21,517.35,3,0
High-Tier VIP,Organic/Direct,North America,11,4191.72,1,1
Regular Consumer,Social Media,Latin America,39,1274.83,5,0
High-Tier VIP,Organic/Direct,North America,41,5229.41,5,0
Regular Consumer,Paid Search,Europe,4,663.93,5,0
Regular Consumer,Organic/Direct,North America,25,1194.44,4,1
Budget Hunter,Social Media,Asia-Pacific,32,206.0,3,1
Budget Hunter,Social Media,Asia-Pacific,30,338.56,3,1
Regular Consumer,Social Media,Europe,45,1611.94,3,0
Regular Consumer,Email Referral,Europe,26,900.46,4,0
Budget Hunter,Social Media,Asia-Pacific,36,204.19,4,0
Budget Hunter,Social Media,North America,34,515.17,5,0
High-Tier VIP,Email Referral,North America,9,3209.56,5,0
Corporate/Bulk,Organic/Direct,North America,12,6878.91,2,0
Regular Consumer,Social Media,Latin America,2,1685.71,2,1
Budget Hunter,Organic/Direct,North America,38,246.18,4,1
Budget Hunter,Social Media,Asia-Pacific,5,493.93,3,1
Budget Hunter,Paid Search,Europe,5,373.98,4,0
High-Tier VIP,Social Media,North America,22,5944.45,4,0
Budget Hunter,Email Referral,North America,5,366.28,3,0
Regular Consumer,Email Referral,North America,4,1523.91,4,0
Budget Hunter,Paid Search,Europe,9,269.64,4,0
