TenureMonths,PurchaseFrequency,AvgOrderValue,AnnualIncome,CSAT_Rating,SupportTickets,AnnualSpend,IncomeSpendRatio,EngagementScore,TenureSpendVelocity,Churn
47,5,106.42,67024.02,4,3,6385.2,0.0953,1.25,135.86,0
62,4,66.8,46723.03,3,2,3206.4,0.0686,1.333,51.72,1
69,10,34.59,48368.43,4,3,4150.8,0.0858,2.5,60.16,0
16,5,146.86,31643.77,1,1,8811.6,0.2785,2.5,550.72,0
48,3,66.38,86325.83,1,1,2389.68,0.0277,1.5,49.78,0
39,5,119.51,63532.53,4,3,7170.6,0.1129,1.25,183.86,0
33,5,122.4,25979.79,3,2,7344.0,0.2827,1.667,222.55,0
23,10,95.21,77079.63,3,5,11425.2,0.1482,1.667,496.75,1
10,4,107.0,66853.87,4,4,5136.0,0.0768,0.8,513.6,0
69,8,115.51,76497.3,4,1,11088.96,0.145,4.0,160.71,0
34,10,103.05,44945.1,2,1,12366.0,0.2751,5.0,363.71,0
52,8,63.21,47457.54,2,1,6068.16,0.1279,4.0,116.7,1
10,9,43.96,40372.35,5,0,4747.68,0.1176,9.0,474.77,0
19,5,69.27,93109.27,4,2,4156.2,0.0446,1.667,218.75,1
58,8,79.44,45982.17,3,1,7626.24,0.1659,4.0,131.49,0
1,8,171.06,37806.19,4,0,16421.76,0.4344,8.0,16421.76,0
69,11,52.76,43354.85,4,2,6964.32,0.1606,3.667,100.93,0
4,6,182.15,49147.13,3,2,13114.8,0.2668,2.0,3278.7,0
16,7,208.66,83007.17,2,4,17527.44,0.2112,1.4,1095.46,1
24,10,70.44,59983.1,3,1,8452.8,0.1409,5.0,352.2,0
2,6,205.28,77203.91,5,2,14780.16,0.1914,2.0,7390.08,0
32,8,88.85,60135.47,1,0,8529.6,0.1418,8.0,266.55,0
24,1,82.23,51755.76,2,2,986.76,0.0191,0.333,41.12,0
12,8,171.13,36234.77,5,2,16428.48,0.4534,2.667,1369.04,0
50,4,104.81,83692.51,2,2,5030.88,0.0601,1.333,100.62,0
35,8,97.85,72837.31,4,3,9393.6,0.129,2.0,268.39,1
33,9,68.8,74475.07,2,2,7430.4,0.0998,3.0,225.16,0
33,3,71.72,71652.96,4,1,2581.92,0.036,1.5,78.24,0
61,0,99.43,42217.94,3,0,0.0,0.0,0.0,0.0,0
51,5,171.09,59770.13,2,2,10265.4,0.1717,1.667,201.28,0
43,6,52.91,74563.54,4,2,3809.52,0.0511,2.0,88.59,0
12,3,91.01,71998.06,4,1,3276.36,0.0455,1.5,273.03,1
67,3,47.77,57818.65,4,0,1719.72,0.0297,3.0,25.67,0
65,4,67.08,90549.76,4,4,3219.84,0.0356,0.8,49.54,0
33,5,127.36,64593.59,4,1,7641.6,0.1183,2.5,231.56,0
40,9,61.09,78795.86,4,1,6597.72,0.0837,4.5,164.94,0
43,2,151.66,58602.61,4,2,3639.84,0.0621,0.667,84.65,0
44,5,60.94,48310.1,4,2,3656.4,0.0757,1.667,83.1,0
29,3,72.79,72445.29,4,0,2620.44,0.0362,3.0,90.36,0
13,7,36.49,68203.33,4,1,3065.16,0.0449,3.5,235.78,0
12,3,151.76,61236.36,2,0,5463.36,0.0892,3.0,455.28,0
46,5,141.86,39769.61,2,2,8511.6,0.214,1.667,185.03,0
2,4,48.42,73197.3,3,3,2324.16,0.0318,1.0,1162.08,1
35,6,82.48,40717.69,5,3,5938.56,0.1458,1.5,169.67,0
8,8,79.22,68992.42,4,2,7605.12,0.1102,2.667,950.64,0
26,5,76.04,35254.26,4,2,4562.4,0.1294,1.667,175.48,0
34,7,209.37,39753.16,3,2,17587.08,0.4424,2.333,517.27,0
7,4,75.57,60257.63,2,4,3627.36,0.0602,0.8,518.19,1
68,5,62.59,65421.38,5,1,3755.4,0.0574,2.5,55.23,0
58,6,38.6,58900.38,5,2,2779.2,0.0472,2.0,47.92,0
29,8,64.11,45511.12,2,1,6154.56,0.1352,4.0,212.23,0
36,5,170.84,75037.79,4,0,10250.4,0.1366,5.0,284.73,0
21,5,104.28,57498.85,3,2,6256.8,0.1088,1.667,297.94,0
36,7,104.39,58480.75,3,4,8768.76,0.1499,1.4,243.58,0
10,5,65.96,52164.75,4,0,3957.6,0.0759,5.0,395.76,0
24,4,158.79,41991.17,4,3,7621.92,0.1815,1.0,317.58,1
64,4,120.42,75280.18,4,2,5780.16,0.0768,1.333,90.32,0
49,3,76.56,43431.12,1,3,2756.16,0.0635,0.75,56.25,1
36,6,58.18,85553.42,3,3,4188.96,0.049,1.5,116.36,0
24,8,91.12,40150.32,3,3,8747.52,0.2179,2.0,364.48,1
23,7,60.48,60812.78,3,3,5080.32,0.0835,1.75,220.88,1
62,8,86.26,56251.86,4,2,8280.96,0.1472,2.667,133.56,0
37,10,99.97,52972.84,3,0,11996.4,0.2265,10.0,324.23,0
12,7,67.35,67274.61,3,4,5657.4,0.0841,1.4,471.45,1
55,8,26.97,69216.14,3,0,2589.12,0.0374,8.0,47.07,0
13,10,113.98,64647.36,4,3,13677.6,0.2116,2.5,1052.12,1
23,4,68.31,35850.07,4,2,3278.88,0.0915,1.333,142.56,1
30,0,99.58,33916.52,4,2,0.0,0.0,0.0,0.0,1
17,6,88.0,32833.57,2,2,6336.0,0.193,2.0,372.71,1
62,8,192.95,50606.46,3,1,18523.2,0.366,4.0,298.76,0
13,8,94.71,93076.18,1,3,9092.16,0.0977,2.0,699.4,0
59,6,141.23,54114.87,2,3,10168.56,0.1879,1.5,172.35,1
19,5,78.43,92816.49,3,3,4705.8,0.0507,1.25,247.67,1
49,10,60.98,54398.72,1,2,7317.6,0.1345,3.333,149.34,0
12,6,116.24,57879.79,4,0,8369.28,0.1446,6.0,697.44,0
61,11,66.04,65723.9,5,0,8717.28,0.1326,11.0,142.91,0
19,6,129.99,49761.65,2,4,9359.28,0.1881,1.2,492.59,1
9,9,51.11,59091.2,4,4,5519.88,0.0934,1.8,613.32,1
71,5,109.38,24348.69,2,4,6562.8,0.2695,1.0,92.43,1
28,7,93.55,38996.01,4,4,7858.2,0.2015,1.4,280.65,1
52,3,176.08,24727.34,4,3,6338.88,0.2564,0.75,121.9,0
16,5,114.41,68054.32,5,2,6864.6,0.1009,1.667,429.04,0
69,3,88.64,30459.82,2,3,3191.04,0.1048,0.75,46.25,1
12,3,134.49,80410.1,3,2,4841.64,0.0602,1.0,403.47,1
25,4,26.74,61408.41,2,1,1283.52,0.0209,2.0,51.34,0
52,5,120.88,72269.38,3,2,7252.8,0.1004,1.667,139.48,0
53,9,125.7,43360.2,5,3,13575.6,0.3131,2.25,256.14,0
23,5,132.16,34777.51,4,2,7929.6,0.228,1.667,344.77,1
16,9,127.92,48740.98,4,2,13815.36,0.2834,3.0,863.46,0
57,4,118.61,74155.31,4,1,5693.28,0.0768,2.0,99.88,0
39,11,80.1,93070.93,5,3,10573.2,0.1136,2.75,271.11,0
53,6,100.97,64150.57,3,1,7269.84,0.1133,3.0,137.17,0
42,4,70.15,31317.99,2,0,3367.2,0.1075,4.0,80.17,0
58,5,63.17,37505.83,5,2,3790.2,0.1011,1.667,65.35,0
39,4,81.66,28210.14,3,4,3919.68,0.1389,0.8,100.5,0
14,4,86.43,52674.94,1,0,4148.64,0.0788,4.0,296.33,0
5,11,111.81,50009.74,2,1,14758.92,0.2951,5.5,2951.78,0
35,7,163.72,52541.01,4,1,13752.48,0.2617,3.5,392.93,0
18,9,140.04,35678.42,4,2,15124.32,0.4239,3.0,840.24,0
9,7,107.81,33875.13,3,3,9056.04,0.2673,1.75,1006.23,1
58,4,154.59,56694.08,4,2,7420.32,0.1309,1.333,127.94,0
17,4,95.13,63719.4,4,2,4566.24,0.0717,1.333,268.6,0
7,8,119.42,33672.88,5,0,11464.32,0.3405,8.0,1637.76,0
46,3,80.24,63526.87,4,0,2888.64,0.0455,3.0,62.8,0
13,11,94.03,72041.85,4,1,12411.96,0.1723,5.5,954.77,1
40,5,83.71,13046.09,4,3,5022.6,0.385,1.25,125.57,0
42,6,42.15,83362.27,3,1,3034.8,0.0364,3.0,72.26,0
9,7,42.63,67639.68,3,2,3580.92,0.0529,2.333,397.88,0
50,5,48.68,72210.32,3,1,2920.8,0.0404,2.5,58.42,0
27,9,108.16,36624.13,1,1,11681.28,0.319,4.5,432.64,0
66,4,165.35,69168.68,3,2,7936.8,0.1147,1.333,120.25,1
5,2,154.34,71237.37,3,2,3704.16,0.052,0.667,740.83,1
29,5,41.24,43272.16,2,2,2474.4,0.0572,1.667,85.32,1
37,12,119.99,69037.74,2,0,17278.56,0.2503,12.0,466.99,0
38,6,73.96,52513.13,3,2,5325.12,0.1014,2.0,140.13,1
8,4,62.27,43884.86,4,0,2988.96,0.0681,4.0,373.62,0
65,5,99.54,51463.95,5,3,5972.4,0.1161,1.25,91.88,0
17,6,73.07,58028.91,4,1,5261.04,0.0907,3.0,309.47,0
71,6,46.56,49553.15,3,1,3352.32,0.0677,3.0,47.22,0
45,8,57.85,40747.85,3,3,5553.6,0.1363,2.0,123.41,1
4,8,79.96,62073.17,2,3,7676.16,0.1237,2.0,1919.04,1
36,7,162.84,65076.01,2,1,13678.56,0.2102,3.5,379.96,0
70,8,39.53,57628.38,4,1,3794.88,0.0659,4.0,54.21,0
31,1,51.98,25884.02,3,1,623.76,0.0241,0.5,20.12,1
19,10,83.05,44477.35,4,1,9966.0,0.2241,5.0,524.53,0
61,5,65.47,39806.38,4,2,3928.2,0.0987,1.667,64.4,0
54,10,113.7,86159.77,2,3,13644.0,0.1584,2.5,252.67,0
39,2,84.12,57122.09,4,3,2018.88,0.0353,0.5,51.77,1
19,5,46.14,49955.89,3,1,2768.4,0.0554,2.5,145.71,0
39,9,73.8,44943.07,3,4,7970.4,0.1773,1.8,204.37,0
67,3,101.45,52752.59,4,3,3652.2,0.0692,0.75,54.51,0
45,5,125.92,68527.6,5,2,7555.2,0.1103,1.667,167.89,0
13,3,51.71,22061.73,4,2,1861.56,0.0844,1.0,143.2,0
58,5,104.43,59142.98,5,4,6265.8,0.1059,1.0,108.03,1
20,5,80.93,45917.28,1,4,4855.8,0.1058,1.0,242.79,1
61,6,153.72,62752.06,2,0,11067.84,0.1764,6.0,181.44,0
39,8,74.24,69383.83,2,4,7127.04,0.1027,1.6,182.74,1
1,3,46.7,42480.64,3,2,1681.2,0.0396,1.0,1681.2,0
3,9,67.61,30354.36,3,2,7301.88,0.2406,3.0,2433.96,1
62,8,33.4,49520.78,4,2,3206.4,0.0647,2.667,51.72,0
63,6,35.23,78167.23,4,1,2536.56,0.0325,3.0,40.26,0
25,5,39.44,70041.83,5,2,2366.4,0.0338,1.667,94.66,0
56,7,114.14,48202.79,5,1,9587.76,0.1989,3.5,171.21,1
33,8,108.39,43572.9,2,1,10405.44,0.2388,4.0,315.32,0
38,5,116.99,44931.71,5,2,7019.4,0.1562,1.667,184.72,0
6,4,70.61,31642.74,4,0,3389.28,0.1071,4.0,564.88,0
58,8,58.53,69125.93,3,2,5618.88,0.0813,2.667,96.88,0
44,2,224.93,72413.49,4,4,5398.32,0.0745,0.4,122.69,1
45,7,98.86,48031.52,2,2,8304.24,0.1729,2.333,184.54,1
32,8,55.29,45987.73,5,1,5307.84,0.1154,4.0,165.87,0
45,9,172.78,42431.07,4,1,18660.24,0.4398,4.5,414.67,0
61,7,161.43,46893.42,5,3,13560.12,0.2892,1.75,222.3,0
47,6,122.46,41766.88,5,1,8817.12,0.2111,3.0,187.6,0
21,5,85.96,52206.33,4,0,5157.6,0.0988,5.0,245.6,0
36,6,62.57,69155.13,2,1,4505.04,0.0651,3.0,125.14,0
19,6,75.6,67300.46,2,4,5443.2,0.0809,1.2,286.48,1
20,8,151.46,39903.57,3,4,14540.16,0.3644,1.6,727.01,1
57,5,66.23,57732.57,2,4,3973.8,0.0688,1.0,69.72,0
18,6,50.73,66630.72,4,3,3652.56,0.0548,1.5,202.92,0
47,2,121.54,38083.81,3,2,2916.96,0.0766,0.667,62.06,0
49,3,91.13,57545.51,5,3,3280.68,0.057,0.75,66.95,0
14,6,67.45,76845.63,4,3,4856.4,0.0632,1.5,346.89,1
15,7,70.32,50591.98,2,2,5906.88,0.1168,2.333,393.79,1
31,6,31.18,18677.76,3,1,2244.96,0.1202,3.0,72.42,0
1,9,72.61,9689.85,3,1,7841.88,0.7842,4.5,7841.88,1
54,5,145.21,60594.63,4,2,8712.6,0.1438,1.667,161.34,0
3,6,58.91,56917.3,4,5,4241.52,0.0745,1.0,1413.84,0
16,6,241.66,58379.23,1,1,17399.52,0.298,3.0,1087.47,1
57,8,91.99,63807.17,4,2,8831.04,0.1384,2.667,154.93,0
12,6,23.33,28369.84,4,1,1679.76,0.0592,3.0,139.98,1
16,8,44.75,40477.38,4,1,4296.0,0.1061,4.0,268.5,0
24,3,11.56,62615.14,4,3,416.16,0.0066,0.75,17.34,0
28,5,102.91,68245.55,3,4,6174.6,0.0905,1.0,220.52,1
8,6,58.81,50376.07,1,1,4234.32,0.0841,3.0,529.29,0
36,5,122.81,29219.01,4,1,7368.6,0.2522,2.5,204.68,0
8,12,155.95,61119.35,5,1,22456.8,0.3674,6.0,2807.1,0
58,10,133.86,55920.41,3,3,16063.2,0.2873,2.5,276.95,1
60,6,132.47,35951.52,3,1,9537.84,0.2653,3.0,158.96,0
50,4,75.67,19294.59,2,0,3632.16,0.1882,4.0,72.64,0
28,7,59.6,65282.53,3,2,5006.4,0.0767,2.333,178.8,1
41,5,116.42,43885.86,3,3,6985.2,0.1592,1.25,170.37,1
64,9,61.77,58360.56,3,0,6671.16,0.1143,9.0,104.24,0
27,5,76.88,57692.07,4,4,4612.8,0.08,1.0,170.84,0
63,8,62.9,34355.29,3,1,6038.4,0.1758,4.0,95.85,0
17,4,66.48,62521.55,1,2,3191.04,0.051,1.333,187.71,0
33,7,120.53,39523.82,3,0,10124.52,0.2562,7.0,306.8,0
29,11,64.63,28083.12,5,4,8531.16,0.3038,2.2,294.18,1
13,3,121.52,25777.39,4,3,4374.72,0.1697,0.75,336.52,1
46,6,155.57,54941.74,5,2,11201.04,0.2039,2.0,243.5,0
35,6,71.55,83693.84,4,2,5151.6,0.0616,2.0,147.19,1
6,4,54.29,55738.39,3,0,2605.92,0.0468,4.0,434.32,0
69,7,141.6,87096.85,2,0,11894.4,0.1366,7.0,172.38,0
47,8,105.84,81078.79,4,4,10160.64,0.1253,1.6,216.18,0
25,9,63.76,64293.15,4,1,6886.08,0.1071,4.5,275.44,0
66,7,78.76,83340.84,4,4,6615.84,0.0794,1.4,100.24,1
10,6,109.86,81304.7,4,2,7909.92,0.0973,2.0,790.99,0
56,7,41.9,76216.53,4,0,3519.6,0.0462,7.0,62.85,0
30,6,184.44,21082.06,1,0,13279.68,0.6299,6.0,442.66,0
5,5,136.43,50738.61,4,2,8185.8,0.1613,1.667,1637.16,0
33,6,92.83,42513.46,4,1,6683.76,0.1572,3.0,202.54,0
65,7,180.23,76080.35,3,2,15139.32,0.199,2.333,232.91,1
18,4,166.9,49469.49,4,1,8011.2,0.1619,2.0,445.07,1
49,1,84.44,86541.58,4,3,1013.28,0.0117,0.25,20.68,1
11,6,81.45,56828.12,2,1,5864.4,0.1032,3.0,533.13,1
26,10,82.95,54496.86,3,2,9954.0,0.1827,3.333,382.85,1
63,8,118.08,48184.34,3,2,11335.68,0.2353,2.667,179.93,0
59,4,113.94,51676.93,3,2,5469.12,0.1058,1.333,92.7,0
27,3,35.15,59837.4,2,1,1265.4,0.0211,1.5,46.87,0
49,1,110.45,53810.59,2,1,1325.4,0.0246,0.5,27.05,0
33,5,110.14,46632.34,2,3,6608.4,0.1417,1.25,200.25,0
1,6,23.59,47698.73,3,2,1698.48,0.0356,2.0,1698.48,1
21,5,83.36,87778.36,5,2,5001.6,0.057,1.667,238.17,1
55,8,95.41,90955.21,2,3,9159.36,0.1007,2.0,166.53,0
6,5,38.74,46525.65,3,1,2324.4,0.05,2.5,387.4,0
69,5,50.01,70281.47,3,3,3000.6,0.0427,1.25,43.49,1
5,5,61.73,40099.44,4,1,3703.8,0.0924,2.5,740.76,0
3,6,118.79,49117.07,1,1,8552.88,0.1741,3.0,2850.96,1
53,6,158.97,35424.75,2,2,11445.84,0.3231,2.0,215.96,0
23,9,115.3,73357.01,2,1,12452.4,0.1698,4.5,541.41,0
53,8,97.78,63721.41,5,3,9386.88,0.1473,2.0,177.11,0
37,6,126.8,67158.05,4,1,9129.6,0.1359,3.0,246.75,0
17,3,22.98,70988.63,2,2,827.28,0.0117,1.0,48.66,1
1,7,153.13,39347.01,3,1,12862.92,0.3269,3.5,12862.92,1
51,5,87.12,49160.48,2,1,5227.2,0.1063,2.5,102.49,0
45,6,144.52,63014.18,2,3,10405.44,0.1651,1.5,231.23,1
4,7,123.15,48779.79,4,4,10344.6,0.2121,1.4,2586.15,1
62,3,63.74,56249.65,4,2,2294.64,0.0408,1.0,37.01,0
65,11,103.33,40605.0,4,3,13639.56,0.3359,2.75,209.84,0
32,1,66.43,78935.15,3,3,797.16,0.0101,0.25,24.91,1
34,7,113.41,71893.55,4,2,9526.44,0.1325,2.333,280.19,0
39,3,194.47,77267.4,3,2,7000.92,0.0906,1.0,179.51,0
26,7,113.64,66864.17,3,3,9545.76,0.1428,1.75,367.14,1
34,9,24.42,35310.23,4,2,2637.36,0.0747,3.0,77.57,1
54,2,62.35,46368.51,2,1,1496.4,0.0323,1.0,27.71,0
3,6,136.51,42368.82,4,6,9828.72,0.232,0.857,3276.24,1
50,5,60.69,50369.05,5,2,3641.4,0.0723,1.667,72.83,0
12,3,156.08,74039.75,2,2,5618.88,0.0759,1.0,468.24,1
65,6,55.45,28490.31,5,1,3992.4,0.1401,3.0,61.42,0
54,4,146.8,44494.49,1,0,7046.4,0.1584,4.0,130.49,0
5,6,72.52,47899.25,3,2,5221.44,0.109,2.0,1044.29,0
57,7,118.93,31347.7,4,2,9990.12,0.3187,2.333,175.27,0
17,7,137.14,58685.65,4,2,11519.76,0.1963,2.333,677.63,0
47,3,102.76,48844.37,2,2,3699.36,0.0757,1.0,78.71,1
23,6,76.4,75012.7,4,1,5500.8,0.0733,3.0,239.17,0
14,5,104.54,50047.78,5,7,6272.4,0.1253,0.625,448.03,1
66,8,87.12,63260.96,2,4,8363.52,0.1322,1.6,126.72,0
51,11,94.17,57069.74,5,3,12430.44,0.2178,2.75,243.73,0
38,5,41.93,10332.77,4,4,2515.8,0.2435,1.0,66.21,0
64,2,125.24,29167.38,5,2,3005.76,0.1031,0.667,46.96,0
38,7,101.38,61903.73,2,2,8515.92,0.1376,2.333,224.1,0
50,8,36.57,61083.31,4,0,3510.72,0.0575,8.0,70.21,0
30,5,78.69,53763.94,1,5,4721.4,0.0878,0.833,157.38,1
51,9,29.42,78942.4,5,1,3177.36,0.0402,4.5,62.3,0
63,8,95.12,64179.55,4,3,9131.52,0.1423,2.0,144.94,1
52,6,117.33,83265.32,3,3,8447.76,0.1015,1.5,162.46,0
38,7,67.57,10725.99,2,1,5675.88,0.5292,3.5,149.37,1
30,7,65.23,86214.66,4,0,5479.32,0.0636,7.0,182.64,0
51,5,76.78,44071.25,4,1,4606.8,0.1045,2.5,90.33,0
5,4,65.04,55447.55,3,0,3121.92,0.0563,4.0,624.38,0
29,6,59.51,76361.89,3,2,4284.72,0.0561,2.0,147.75,0
4,7,33.8,16934.23,4,0,2839.2,0.1677,7.0,709.8,0
10,4,64.04,50439.99,3,0,3073.92,0.0609,4.0,307.39,1
56,6,42.61,73158.68,2,3,3067.92,0.0419,1.5,54.78,1
17,5,152.87,43893.1,5,2,9172.2,0.209,1.667,539.54,0
17,7,165.08,71447.33,3,2,13866.72,0.1941,2.333,815.69,0
69,8,114.27,67174.87,3,2,10969.92,0.1633,2.667,158.98,0
34,3,149.45,58045.0,2,3,5380.2,0.0927,0.75,158.24,0
6,6,61.49,65780.19,5,1,4427.28,0.0673,3.0,737.88,0
53,10,116.85,78303.4,2,2,14022.0,0.1791,3.333,264.57,0
66,5,115.48,65845.02,4,0,6928.8,0.1052,5.0,104.98,0
43,5,105.27,71724.32,5,0,6316.2,0.0881,5.0,146.89,0
23,7,75.72,39136.71,1,5,6360.48,0.1625,1.167,276.54,1
55,6,92.02,65475.89,4,2,6625.44,0.1012,2.0,120.46,0
16,8,103.38,63808.57,3,1,9924.48,0.1555,4.0,620.28,0
8,3,102.28,75230.08,4,1,3682.08,0.0489,1.5,460.26,1
4,5,57.76,34156.08,3,0,3465.6,0.1015,5.0,866.4,0
4,9,160.51,74324.99,4,2,17335.08,0.2332,3.0,4333.77,0
56,6,95.37,39175.05,3,1,6866.64,0.1753,3.0,122.62,0
25,11,128.86,97131.58,1,1,17009.52,0.1751,5.5,680.38,0
67,5,70.8,39007.5,5,4,4248.0,0.1089,1.0,63.4,1
67,7,113.5,33998.07,1,2,9534.0,0.2804,2.333,142.3,0
27,5,98.36,49770.91,4,1,5901.6,0.1186,2.5,218.58,0
32,4,60.71,73870.57,2,1,2914.08,0.0394,2.0,91.06,1
50,1,92.65,61390.86,3,1,1111.8,0.0181,0.5,22.24,0
61,10,80.04,85231.03,4,3,9604.8,0.1127,2.5,157.46,0
51,7,83.88,49591.06,2,3,7045.92,0.1421,1.75,138.16,0
19,2,139.11,46180.59,5,0,3338.64,0.0723,2.0,175.72,0
21,6,87.84,41779.8,4,2,6324.48,0.1514,2.0,301.17,1
5,6,135.36,45526.47,3,2,9745.92,0.2141,2.0,1949.18,1
42,7,118.38,29850.14,4,1,9943.92,0.3331,3.5,236.76,0
61,4,97.25,43321.22,3,1,4668.0,0.1078,2.0,76.52,0
22,6,142.66,33211.31,3,0,10271.52,0.3093,6.0,466.89,0
21,4,137.64,67941.46,4,0,6606.72,0.0972,4.0,314.61,0
70,5,97.34,81643.5,3,2,5840.4,0.0715,1.667,83.43,0
1,5,100.69,58989.51,2,3,6041.4,0.1024,1.25,6041.4,1
5,8,143.34,42869.81,4,1,13760.64,0.321,4.0,2752.13,1
12,4,121.71,68396.96,4,2,5842.08,0.0854,1.333,486.84,0
46,5,159.76,54293.33,4,2,9585.6,0.1766,1.667,208.38,0
34,8,87.0,73267.26,4,2,8352.0,0.114,2.667,245.65,0
49,6,52.96,37982.3,4,1,3813.12,0.1004,3.0,77.82,0
45,5,66.57,39231.95,4,3,3994.2,0.1018,1.25,88.76,0
27,5,35.25,68070.86,3,0,2115.0,0.0311,5.0,78.33,0
26,9,64.53,54635.2,5,3,6969.24,0.1276,2.25,268.05,0
47,8,121.12,71683.78,2,2,11627.52,0.1622,2.667,247.39,1
56,8,87.66,39546.57,4,1,8415.36,0.2128,4.0,150.27,0
63,4,60.48,62805.75,5,1,2903.04,0.0462,2.0,46.08,0
48,9,71.59,64836.77,4,2,7731.72,0.1192,3.0,161.08,0
61,4,105.31,27331.82,5,1,5054.88,0.1849,2.0,82.87,0
26,7,73.29,54938.42,3,2,6156.36,0.1121,2.333,236.78,0
36,4,83.17,18708.55,3,3,3992.16,0.2134,1.0,110.89,0
1,4,43.28,81457.36,5,1,2077.44,0.0255,2.0,2077.44,0
8,10,151.34,31283.17,3,2,18160.8,0.5805,3.333,2270.1,1
52,8,160.92,51599.94,4,3,15448.32,0.2994,2.0,297.08,1
47,6,62.03,54911.77,2,3,4466.16,0.0813,1.5,95.02,0
56,6,78.69,37681.57,4,4,5665.68,0.1504,1.2,101.17,0
14,5,33.07,88285.68,4,1,1984.2,0.0225,2.5,141.73,0
28,5,145.79,42549.49,3,2,8747.4,0.2056,1.667,312.41,0
2,4,49.41,50143.72,4,3,2371.68,0.0473,1.0,1185.84,0
26,7,90.75,42589.03,4,1,7623.0,0.179,3.5,293.19,0
14,3,56.12,42436.15,1,0,2020.32,0.0476,3.0,144.31,0
59,7,91.71,53038.34,4,0,7703.64,0.1452,7.0,130.57,0
56,7,133.49,67654.99,4,0,11213.16,0.1657,7.0,200.24,0
7,8,118.03,57882.36,2,0,11330.88,0.1958,8.0,1618.7,0
3,11,121.94,41346.48,4,4,16096.08,0.3893,2.2,5365.36,0
23,6,46.72,54886.75,3,1,3363.84,0.0613,3.0,146.25,0
18,3,89.69,30393.9,3,2,3228.84,0.1062,1.0,179.38,0
38,8,204.87,76298.7,3,0,19667.52,0.2578,8.0,517.57,0
15,3,102.53,45892.65,4,3,3691.08,0.0804,0.75,246.07,1
64,10,93.24,46855.69,5,0,11188.8,0.2388,10.0,174.82,0
28,6,81.75,19969.32,2,1,5886.0,0.2948,3.0,210.21,0
39,7,98.29,45879.45,3,0,8256.36,0.18,7.0,211.7,0
57,3,91.56,85281.8,1,0,3296.16,0.0387,3.0,57.83,0
17,4,188.78,66007.38,4,1,9061.44,0.1373,2.0,533.03,0
44,6,129.85,74961.95,3,3,9349.2,0.1247,1.5,212.48,1
25,6,86.66,57098.99,4,0,6239.52,0.1093,6.0,249.58,0
17,6,126.99,7837.17,3,1,9143.28,0.9143,3.0,537.84,0
13,6,64.38,56252.84,5,2,4635.36,0.0824,2.0,356.57,1
25,7,90.91,58621.83,4,6,7636.44,0.1303,1.0,305.46,0
68,7,73.29,71121.5,5,2,6156.36,0.0866,2.333,90.53,0
10,3,123.23,54338.67,1,2,4436.28,0.0816,1.0,443.63,1
67,3,87.95,41107.76,4,2,3166.2,0.077,1.0,47.26,0
18,3,97.66,53214.39,4,2,3515.76,0.0661,1.0,195.32,0
34,7,84.94,48839.32,4,2,7134.96,0.1461,2.333,209.85,0
8,6,107.46,64425.6,1,4,7737.12,0.1201,1.2,967.14,1
40,4,124.08,53254.53,5,2,5955.84,0.1118,1.333,148.9,0
42,6,161.15,37177.5,3,1,11602.8,0.3121,3.0,276.26,1
41,9,81.31,65204.2,3,1,8781.48,0.1347,4.5,214.18,0
6,5,57.7,41700.56,4,3,3462.0,0.083,1.25,577.0,0
52,3,110.03,49312.06,4,1,3961.08,0.0803,1.5,76.17,0
26,11,50.66,46649.48,4,3,6687.12,0.1433,2.75,257.2,0
64,6,80.22,59270.01,3,3,5775.84,0.0974,1.5,90.25,1
59,6,44.13,30316.91,3,1,3177.36,0.1048,3.0,53.85,1
56,8,276.25,55577.95,4,0,26520.0,0.4772,8.0,473.57,0
59,3,151.96,74447.9,3,2,5470.56,0.0735,1.0,92.72,0
70,7,145.65,56723.89,5,3,12234.6,0.2157,1.75,174.78,0
33,6,164.72,42986.27,5,0,11859.84,0.2759,6.0,359.39,0
53,5,138.62,48418.27,3,2,8317.2,0.1718,1.667,156.93,1
22,5,102.81,60323.46,1,2,6168.6,0.1023,1.667,280.39,1
21,8,104.12,65085.36,5,4,9995.52,0.1536,1.6,475.98,1
70,7,157.64,82070.86,2,0,13241.76,0.1613,7.0,189.17,0
70,8,162.28,25736.63,3,2,15578.88,0.6053,2.667,222.56,0
4,3,60.11,59741.88,2,2,2163.96,0.0362,1.0,540.99,0
62,7,86.85,58337.07,2,2,7295.4,0.1251,2.333,117.67,0
62,8,96.14,53798.33,4,2,9229.44,0.1716,2.667,148.86,0
24,4,140.51,61397.91,4,1,6744.48,0.1098,2.0,281.02,0
55,4,64.63,50868.35,5,0,3102.24,0.061,4.0,56.4,0
9,8,61.33,37021.35,3,1,5887.68,0.159,4.0,654.19,0
3,4,48.71,58843.47,4,2,2338.08,0.0397,1.333,779.36,1
31,6,73.9,66686.58,5,0,5320.8,0.0798,6.0,171.64,0
40,2,79.79,54148.35,4,1,1914.96,0.0354,1.0,47.87,0
36,4,177.92,74068.17,4,3,8540.16,0.1153,1.0,237.23,0
24,4,133.43,50726.85,2,2,6404.64,0.1263,1.333,266.86,0
6,6,140.48,63290.19,4,1,10114.56,0.1598,3.0,1685.76,0
66,8,56.76,26528.62,3,2,5448.96,0.2054,2.667,82.56,1
4,6,84.53,95363.76,4,0,6086.16,0.0638,6.0,1521.54,0
